Date,Client,Type of Issue,Issue Details,Origin,JIRA Ticket,Status,Severity,Summary,Screenshot Links,URL,Root Cause - Initial,Root Cause - Final,Resolution,Errored,Who Owns the Fix,Test Type,,,,,,
12/2/2025,MDG,CRO - Frontend Issue,Client request to remove calendar icon from CTA due to the action no longer being scheduling.,CRO,https://fusion92.atlassian.net/browse/NBLYCRO-126,Resolved,Low,"No design provided. Calendar icon in CTA historically suggests that it is a ""Scheduler"" CTA. The action for this CTA changed to Learn More leading to an information page so the calendar icon is no longer needed.",N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Send back to development to have calendar icon removed from CTA,Client Review,CRO Dev,,,,,,,
12/3/2025,MDG,CRO - Frontend Issue,"QA noted visual display issues, missing accessibility features, potential site area issues.",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-132,Resolved,Low,,N/A,N/A,CRO Code / Configuration Error,Data / Mapping Issue,Send back to development for adjustments.,QA,CRO Dev,,,,,,,
12/3/2025,MLY,CRO - Frontend Issue,"National Homepage showing two pause buttons, Local Pages missing See All Testimonials link.",Client,https://fusion92.atlassian.net/browse/NBLYCRO-226,Resolved,Critical,"The experiment was implemented on the National Homepage without being communicated to the team. However, this experiment applies to Local Homepages as well and it was not found to be implemented on those pages.",https://prnt.sc/EETG85ML51TY ,N/A,CRO Code / Configuration Error,Client Code / Backend Error,Send to development to have adjustments made. After reviewing and adjusting the site area from National + Local to only Local (where the experiment is not implemented) it functioned as expected.,Done,CRO Dev,,,,,,,
12/4/2025,MRE,External Dependency Change,Existing deployment broke - content displaying on the page as [Object object] instead of expected carousels of content.,Other,https://fusion92.atlassian.net/browse/NBLYCRO-38,Resolved,High,An update from Convert's Legacy tracking script caused a major descrepancy. The usage of $ (convert's jQuery helper) changed how it interacts with elements in the DOM- changing the element from an object to a string. ,https://prnt.sc/1LnGPmZsoXU8,N/A,External Dependency Change,External Dependency Change,Adjust the code to use native methods instead of relying on Convert's $ helper. ,Done,CRO Dev,,,,,,,
12/5/2025,MRR,CRO - Frontend Issue,Missing accessibility features,CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-197,Resolved,Low,Aria label and hover state missing from elements. ,N/A,N/A,CRO Code / Configuration Error,CRO Code / Configuration Error,Send to development to have accessibility features added.,QA,CRO Dev,,,,,,,
12/5/2025,ASV,Client - Frontend Issue,Visual display issues,CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-30,Resolved,Low,"Time slots for calendar out of order, one line of text overflowing into two lines causing visual misalignment",https://prnt.sc/WSedxn1NoVg1,N/A,CRO Code / Configuration Error,CRO Code / Configuration Error,Send to development to have visual issues resolved and order maintained.,QA,CRO Dev,,,,,,,
12/5/2025,ASV,Process/Communication Issue,Wrong images used on updates,CRO,https://fusion92.atlassian.net/browse/NBLYCRO-101,Resolved,Medium,It was unclear which images should be used in this experiment after the original images were deemed low resolution. Multiple images were shared without clarifying which 2 to use. This resulted in the wrong images being chosen and needing to go back to dev to have them swapped.,N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Send back to development with clear instructions on which images to use.,QA,VN Team,,,,,,,
12/9/2025,MOJ,Process/Communication Issue,"Inactive brand, no work to be performed at this time.",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-163,Resolved,Medium,"Inactive brand, no work to be performed at this time.",N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Halt work on this brand.,QA,Other,,,,,,,
12/9/2025,MRR,CRO - Frontend Issue,Button had incorrect functionality attached.,Other,https://fusion92.atlassian.net/browse/NBLYCRO-203,Resolved,Low,Button attached to incorrect functionality.,N/A,N/A,CRO Code / Configuration Error,Missing / Miscommunicated Info,Send back to development to have correct functionality attached to the button.,QA,VN Team,,,,,,,
12/10/2025,MOJ,Process/Communication Issue,"Inactive brand, no work to be performed at this time.",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-163,Resolved,Medium,"Inactive brand, no work to be performed at this time.",N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Halt work on this brand.,QA,Other,,,,,,,
12/10/2025,ASV,Client - Backend Issue,"Offer details are inconsistent lengths, causing visual discrepancies between locations. ",Other,https://fusion92.atlassian.net/browse/NBLYCRO-101,In Progress,Low,Dynamic data causing inconsistent experience in offers pop up.,N/A,N/A,Data / Mapping Issue,Data / Mapping Issue,Leave as is. Client to communicate with franchise owners on shortening length of copy. ,Client Review,CRO Dev,A/B,,,,,,
12/11/2025,MDG,Missing Information,Hero short form utilizes native submit and continue behavior that is expected to be seen with the footer short form as well.,Client,https://fusion92.atlassian.net/browse/NBLYCRO-56,In Progress,Medium,Client expected added short form to utilize submit and continue behavior without stating the request or making it clear before development.,N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Send back to development to have footer short form behave the same as the hero in the scope of submit and continue,Client Review,VN Team,A/B,,,,,,
12/12/2025,MRH,Client - Frontend Issue,Client requested that a portion of the design be adjusted due to brand franchise owners not all aligning on the price component.,Client,https://fusion92.atlassian.net/browse/NBLYCRO-125,Resolved,Low,Brand owners requested section be removed from design.,N/A,N/A,Client Request,Client Request,Send back to development for the section to be removed.,Client Review,VN Team,A/B,,,,,,
12/12/2025,MOJ,Process/Communication Issue,"Inactive brand, no work to be performed at this time.",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-163,Resolved,Medium,"Inactive brand, no work to be performed at this time.",N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Halt work on this brand.,QA,Other,,,,,,,
12/12/2025,MDG,CRO - Frontend Issue,"Display, content accuracy across pages and accessibility issues.",CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-132,Resolved,Low,Small visual issues and accessibility issues affected test. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development for adjustments.,QA,CRO Dev,A/B,,,,,,
12/15/2025,MDG,CRO - Frontend Issue,Code adds dependency of .hero-banner being present however the test is supposed to run site wide and that element is not present on all the pages.,VN Team,https://fusion92.atlassian.net/browse/NBLYCRO-132,In Progress,Critical,"Dependency prevents test from running on all of the pages included in the test scope. (Also site area had issue of href being checked for image, updated to check the src instead)",N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development for dependency to be removed.,QA,VN Team,,,,,,,
12/16/2025,MRE,Client - Backend Issue,Offer feature for attaching to lead flow is not activated for national. Additional code issues - dynamic data sourcing misaligned from expectations.,Other,https://fusion92.atlassian.net/browse/NBLYCRO-31,In Progress,Low,Client side limitation around attaching offer to the lead. Cro issues around dynamic data sourcing and inserting in the proper place.,N/A,N/A,Client Code / Backend Error,Client Code / Backend Error,Send to development for adjustments and place on hold for client side attachment behavior to be reactivated,Client Review,VN Team,,,,,,,
12/17/2025,MRE,Process/Communication Issue,Follow up issue related to the deployment fix logged on 12/4. Fix had been completed and shared with client but not approved for relaunch. Deployment remained paused while it was believed by PM and potentially the client to be live and malfunctioning.,Other,https://fusion92.atlassian.net/browse/NBLYCRO-38,Resolved,Low,"Deployment paused due to missing client approval, but assumed to be live. Section was not redesigned as expected because deployment was inactive- not due to code issues.",N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,"Deployment reactivated after PM approval. Once active, section displayed and behaved as expected without additional changes.",N/A,CRO Dev,,,,,,,
12/18/2025,MRE,External Dependency Change,Converts updates to depracating jQuery have spanned issues across multiple deployments. This one particularly was impacted by the short form not submitting properly and not displaying the expected behavior of submit and continue.,Other,https://fusion92.atlassian.net/browse/NBLYCRO-136,Resolved,Critical,MRE CF 07.2 developed issues regarding form leads submitting and submit and continue after Convert depracated jQuery in their recent update.,N/A,N/A,External Dependency Change,External Dependency Change,MRE CF 07.2 was triaged on 12/18/25 with issues appearing to be resolved by adding a limited number of checks onto site areas.,Done,CRO Dev,Deployment,,,,,,
12/19/2025,MRA,CRO - Frontend Issue,Calendar step not allowing users to schedule appointments in 2026.,CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-258,Resolved,Critical,"The code was hardcoding the year 2025 instead of gathering the new year from the API. By replacing the year with 2025, it resulted in no availability for scheduling causing all the dates in January/February 2026 to appear as unavailable.",N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development to have the code adjusted to accept the dynamic date instead of hardcoding it. Additional updates to replace all instances of jQuery were completed as well.,Done,CRO Dev,,,,,,,
12/22/2025,MRE,Client - Frontend Issue,Short Forms allow users to proceed without entering a last name. This prevents Submit & Continue from behaving as expected as it will get stuck on Step 1 instead of passing over it. ,Client,https://fusion92.atlassian.net/browse/NBLYCRO-262,Resolved,Low,Client reported that users only entering a first name will not be skipped over step 1 in the lead flow. The expectation is that all users will enter a first and last name so that the step skipping experience is universal when coming from any short form on the page.,N/A,N/A,Requirement / Scope Change,Requirement / Scope Change,Send to development to have validation added to the form that will require users to enter a first and last name before proceeding.,Done,VN Team,,,,,,,
12/23/2025,MRH,Scope/Requirement Change,Client requested to prioritize other tests over this one. ,Client,https://fusion92.atlassian.net/browse/NBLYCRO-184,Resolved,Low,Client reported to run other tests before moving forward with this type.,N/A,N/A,Client Request,Client Request,Move back to Dev Queue ,,,,,,,,,
1/6/2026,MRA,Missing Information,Learn More CTA found in design but no direction on where this CTA should direct users.,Other,https://fusion92.atlassian.net/browse/NBLYCRO-264,In Progress,Medium,Learn More CTA found in design but no direction on where this CTA should direct users.,N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Send back to development with clear instructions on updated CTA copy and where the CTA should lead.,QA,VN Team,,,,,,,
1/7/2026,MLY,Convert Configuration,MLY Wave + Opus Site Areas were updated on 1/5/26. This updated caused leakage onto other pages that should not be included.,CRO - Dev,,In Progress,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/8/2026,MLY,CRO - Frontend Issue,"Missing accessibility features - aria labels, aria hidden, alt tags on images (from control)",CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-266,Resolved,Low,"Missing accessibility features - aria labels, aria hidden, alt tags on images (from control)",N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development to have accessibility features added or improved.,QA,CRO Dev,,,,,,,
1/12/2026,MRR,Convert Configuration,Test included depracated jQuery preventing it from firing as expected.,CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-204,Resolved,Medium,Convert depracated jQuery Dec 2025. Tests were to be audited by HP and VN team before 2026. This one slipped through.,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development to have jQuery replaced with vanilla js.,Client Review,VN Team,A/B,,,,,,
1/12/2026,MDG,Process/Communication Issue,Details around the iteration changes were not clear.,CRO,https://fusion92.atlassian.net/browse/NBLYCRO-227,Resolved,Low,Instructions/expectations were not shared clearly.,N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Send back to development to have adjustments made to match expectations.,QA,VN Team,A/B,,,,,,
1/13/2026,MRR,Convert Configuration,Test included depracated jQuery preventing it from firing as expected.,CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-204,Resolved,Medium,Convert depracated jQuery Dec 2025. Tests were to be audited by HP and VN team before 2026. This one slipped through.,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development to have jQuery replaced with vanilla js.,Client Review,VN Team,A/B,,,,,,
1/14/2026,MRR,Convert Configuration,"MRR 29 Site Area was updated on 1/5/25. This update caused an unexpected leak of the test, onto the lead flow.",CRO - Dev,,Resolved,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,LH updated site area and confirmed expected behavior. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/14/2026,MRA,Convert Configuration,Test included depracated jQuery preventing it from firing as expected.,CRO - Dev,https://fusion92.atlassian.net/browse/NBLYCRO-164,Resolved,Critical,Convert depracated jQuery Dec 2025. Tests were to be audited by HP and VN team before 2026. This one slipped through.,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Send back to development to have jQuery replaced with vanilla js.,QA,,,,,,,,
1/15/2026,MDG,,,,https://fusion92.atlassian.net/browse/NBLYCRO-56,Open,,,N/A,N/A,,,,,,,,,,,,
1/15/2026,MRA,,,,https://fusion92.atlassian.net/browse/NBLYCRO-164,Open,,,N/A,N/A,,,,,,,,,,,,
1/16/2026,MLY,,,,https://fusion92.atlassian.net/browse/NBLYCRO-253,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,MDG,,,,https://fusion92.atlassian.net/browse/NBLYCRO-148,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,PDS,,,,https://fusion92.atlassian.net/browse/NBLYCRO-69,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,MLY,,,,https://fusion92.atlassian.net/browse/NBLYCRO-267,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,MRE,,,,https://fusion92.atlassian.net/browse/NBLYCRO-129,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,MRR,,,,https://fusion92.atlassian.net/browse/NBLYCRO-204,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,PDS,,,,https://fusion92.atlassian.net/browse/NBLYCRO-19,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,MRR,,,,https://fusion92.atlassian.net/browse/NBLYCRO-188,Open,,,N/A,N/A,,,,,,,,,,,,
1/21/2026,MRA,Convert Configuration,"National and Local Homepages - Prod and Staging site areas were updated on 1/5/26. This update caused leakage onto additional pages such as /about, /why-us, /blog and others with one slug.",CRO - Dev,,Resolved,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,ASV,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,FSP,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,JUK,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,MDG,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,MOJ,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,MRH,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Resolved,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,MRE,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,PDS,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,SHG,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,WDG,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,MLY,Convert Configuration,National and Local Homepages site area updated 1/5/2026. ,CRO - Dev,,Open,Critical,Updates to the site area caused leaking onto pages that should not have been included. ,N/A,N/A,CRO Code / Config Error,CRO Code / Config Error,Update site area security and reliability. ,N/A,CRO Dev,Convert - Site Area,,,,,,
1/21/2026,MRA,,,,https://fusion92.atlassian.net/browse/NBLYCRO-320,Open,,,,,,,,,,,,,,,,
1/22/2026,MDG,,,,https://fusion92.atlassian.net/browse/NBLYCRO-337,Open,,,,,,,,,,,,,,,,
1/22/2026,MRR,,,,https://fusion92.atlassian.net/browse/NBLYCRO-21,Open,,,,,,,,,,,,,,,,
1/22/2026,MRR,,,,https://fusion92.atlassian.net/browse/NBLYCRO-22,Open,,,,,,,,,,,,,,,,
1/23/2026,PDS,,,,https://fusion92.atlassian.net/browse/NBLYCRO-223,Open,,,,,,,,,,,,,,,,
1/26/2026,MRE,,,,https://fusion92.atlassian.net/browse/NBLYCRO-170,Open,,,,,,,,,,,,,,,,
1/27/2026,PDS,,,,https://fusion92.atlassian.net/browse/NBLYCRO-130,Open,,,,,,,,,,,,,,,,
1/27/2026,ASV,,,,https://fusion92.atlassian.net/browse/NBLYCRO-282,Open,,,,,,,,,,,,,,,,
1/27/2026,MLY,,,,https://fusion92.atlassian.net/browse/NBLYCRO-271,Open,,,,,,,,,,,,,,,,
1/27/2026,PDS,,,,https://fusion92.atlassian.net/browse/NBLYCRO-131,Open,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
